ein,org_name_display,org_addr_full,ntee_code_major_group,ntee_code_definition,geo_match_addr,geo_county,geo_lat,geo_lon
85-0890930,Divas In Training,"400 W N ST APT 1228, RALEIGH, NC 27603-1567",Youth Development,Youth Development Programs,"27603-1567, Raleigh, North Carolina",Wake County,35.784918,-78.64524
85-0927868,Anatomical Pathology Patient Interest Association,"3739 NATIONAL DR STE 202, RALEIGH, NC 27612-4844",Community Improvement and Capacity Building,Chambers of Commerce & Business Leagues,"3739 National Dr, Ste 202, Raleigh, North Carolina, 27612",Wake County,35.8351574027352,-78.6656122582091
85-0951974,New Kids On The Books Literacy Project,"415 BROOKS ST, WAKE FOREST, NC 27587-2930",Education,Educational Services and Schools - Other,"415 Brooks St, Wake Forest, North Carolina, 27587",Wake County,35.9746508173296,-78.5096447355307
85-0992406,School Of Government Services,"CB 3330, CHAPEL HILL, NC 27511-0000",Education,Educational Services and Schools - Other,"27511, Cary, North Carolina",Wake County,35.7646972000001,-78.7825448
85-1000777,Wake Forest Elementary School Foundation,"406 S MAIN ST, WAKE FOREST, NC 27587-2910",Education,Single Organization Support,"406 S Main St, Wake Forest, North Carolina, 27587",Wake County,35.9755882660068,-78.5133395039423
85-1004178,First Haven,"901 PAVERSTONE DR STE 9, RALEIGH, NC 27615-4708",Mental Health and Crisis Intervention,"Counseling, Support Groups","901 Paverstone Dr, Ste 9, Raleigh, North Carolina, 27615",Wake County,35.8871995347974,-78.65802
85-1048547,Land Of Goshen Outreach Services,"1891, FUQUAY VARINA, NC 27526-0000",Education,Alliance/Advocacy Organizations,"27526, Fuquay Varina, North Carolina",Wake County,35.5887000000001,-78.799275
85-1073000,Raleigh Day School,"12804 NORWOOD RD, RALEIGH, NC 27613-6845",Education,"Primary, Elementary Schools","12804 Norwood Rd, Raleigh, North Carolina, 27613",Wake County,35.9395927237011,-78.6974099722431
85-1083921,Free All My Suns,"5121 INFLUENCE WAY, RALEIGH, NC 27616-4345",Crime and Legal-Related,Alliance/Advocacy,"5121 Influence Way, Raleigh, North Carolina, 27616",Wake County,35.858376,-78.5378115
85-1086112,North Carolina Career Development Association,"4824 HEATHSHIRE DR, RALEIGH, NC 27616-8087",Community Improvement and Capacity Building,Business and Industry,"4824 Heathshire Dr, Raleigh, North Carolina, 27616",Wake County,35.8387347104419,-78.553419442057
85-1143623,Natural Math Alliance,"309 SILVERCLIFF TRL, CARY, NC 27513-2842",Education,Educational Services and Schools - Other,"309 Silvercliff Trl, Cary, North Carolina, 27513",Wake County,35.814990929771,-78.7871555488201
85-1153833,Donate Jobs,"1105 TRYON VLG DR STE 303, RALEIGH, NC 27616-0000",Employment,Employment Procurement Assistance,"1105 Tryon Village Dr, Ste 303, Cary, North Carolina, 27518",Wake County,35.7466835875986,-78.7432688330544
85-1158897,Epic At Work,"1220 FLS BRG DR, RALEIGH, NC 27614-8934",Public and Societal Benefit,Leadership Development,"1220 Falls Bridge Dr, Raleigh, North Carolina, 27614",Wake County,35.9583118220902,-78.6319311538169
85-1161382,Change The Future For Youth,"324 VICTORY FLS DR, APEX, NC 27539-7812",Youth Development,Youth Development Programs,"324 Victory Falls Dr, Apex, North Carolina, 27539",Wake County,35.6721409911132,-78.8183855547058
85-1166775,Pen & Shield Project,"5400 TRINITY RD STE 106, RALEIGH, NC 27607-6001","Civil Rights, Societal Action and Advocacy",Civil Rights,"5400 Trinity Rd, Ste 106, Raleigh, North Carolina, 27607",Wake County,35.8017997308553,-78.7319534848235
85-1174725,Impact Conference,"1653 OLD LOUISBURG RD, RALEIGH, NC 27604-1376",Religion-Related,Alliance/Advocacy,"1653 Old Louisburg Rd, Raleigh, North Carolina, 27604",Wake County,35.803195823244,-78.6220326658491
85-1236714,Thorne To Rose Foundation,"6350 ROGERS RD, ROLESVILLE, NC 27571-9371",Mental Health and Crisis Intervention,Nonmonetary Support N.E.C.,"6350 Rogers Rd, Rolesville, North Carolina, 27571",Wake County,35.9214455714411,-78.4665462329041
85-1261462,Aum Foundation,"5017 LYDA SUE LN, RALEIGH, NC 27616-7237","Arts, Culture and Humanities",Fund Raising and/or Fund Distribution,"5017 Lyda Sue Ln, Raleigh, North Carolina, 27616",Wake County,35.871992933435,-78.4784056407465
85-1263238,Foglift Innovation Enterprises,"2531 ML GRAIN WAY, FUQUAY VARINA, NC 27526-0010",Science and Technology,Alliance/Advocacy,"2531 Mill Grain Way, Fuquay Varina, North Carolina, 27526",Wake County,35.6264260840788,-78.7985974159212
85-1280199,Rory Hensman Conservation And Research Unit - Us,"2531 ML GRAIN WAY, FUQUAY VARINA, NC 27526-0010",Animal-Related,"Wildlife Preservation, Protection","2531 Mill Grain Way, Fuquay Varina, North Carolina, 27526",Wake County,35.6264260840788,-78.7985974159212
85-1302694,Crossway Missions,"13200 STRICKLAND RD STE 114 PMB 346, RALEIGH, NC 27613-5212",Religion-Related,Christianity,"13200 Strickland Rd, Ste 114, Raleigh, North Carolina, 27613",Wake County,35.9073649379644,-78.7268753453177
85-1325871,Madinah Quran And Youth Center,"1329 RDG RD, RALEIGH, NC 27607-6836",UNDEFINED,UNDEFINED,"1329 Ridge Rd, Raleigh, North Carolina, 27607",Wake County,35.8050879939118,-78.6868659506317
85-1383069,Kittrell College,"1024 NORTHSHORE DR, WAKE FOREST, NC 27587-9732",Human Services,Human Service Organizations,"1024 Northshore Dr, Wake Forest, North Carolina, 27587",Wake County,36.0236864057936,-78.6505371072768
85-1446959,Saint Bernadette Catholic Parish Of Fuquay-Varina,"1005 WILBON RD, FUQUAY VARINA, NC 27526-8262",UNDEFINED,UNDEFINED,"1005 Wilbon Rd, Fuquay Varina, North Carolina, 27526",Wake County,35.59711010165,-78.8253554285302
85-1481851,Aij Connection Services,"311 RED MTN LN, KNIGHTDALE, NC 27545-6728","Arts, Culture and Humanities",Alliance/Advocacy Organizations,"311 Red Mountain Ln, Knightdale, North Carolina, 27545",Wake County,35.8120890541002,-78.4840471758324
85-1483359,Alley Oop Hoops,"3919 BERYL RD, RALEIGH, NC 27636-0801",Recreation and Sports,Basketball,"3919 Beryl Rd, Raleigh, North Carolina, 27636",Wake County,35.7943632661436,-78.6923978047492
85-1575267,W2-7 Ambassador Program,"1024 NORTHSHORE DR, WAKE FOREST, NC 27587-9732",Human Services,Human Service Organizations,"1024 Northshore Dr, Wake Forest, North Carolina, 27587",Wake County,36.0236864057936,-78.6505371072768
85-1585219,Beautiful Broken Vessels,"717 STRATHWOOD WAY, ROLESVILLE, NC 27571-9012",Mental Health and Crisis Intervention,"Mental Health, Crisis Intervention N.E.C.","717 Strathwood Way, Rolesville, North Carolina, 27571",Wake County,35.9044685842231,-78.4737607557849
85-1604779,Rede Academy,"14460 FLS OF NEUSE RD STE 149-135, RALEIGH, NC 27614-6643",Education,"Primary, Elementary Schools","14460 Falls of Neuse Rd, Ste 149-135, Raleigh, North Carolina, 27614",Wake County,35.943678,-78.543918
85-1626986,Masq,"103 DEWBERRY CT, CARY, NC 27518-7019","Civil Rights, Societal Action and Advocacy",Alliance/Advocacy,"103 Dewberry Ct, Cary, North Carolina, 27518",Wake County,35.7452380080214,-78.7749866616655
85-1651530,North Carolina Institute For Spiritual Direction And Formation,"508 HORNCLIFFE WAY, HOLLY SPRINGS, NC 27540-6884",Education,"Student Services, Organizations of Students","508 Horncliffe Way, Holly Springs, North Carolina, 27540",Wake County,35.6417852672975,-78.8118591536154
85-1671266,Aim,"1025 CHESSRIDGE WAY, MORRISVILLE, NC 27560-6011",Youth Development,Youth Development Programs,"1025 Chessridge Way, Morrisville, North Carolina, 27560",Wake County,35.8327689450631,-78.8521623892608
85-1672184,Wakefield Wolverine Athletics Booster Club,"2200 WAKEFIELD PNES DR, RALEIGH, NC 27614-8809",Recreation and Sports,Sports Associations &Training Facilities,"2200 Wakefield Pines Dr, Raleigh, North Carolina, 27614",Wake County,35.945793,-78.5695995
85-1677699,That Deaf Rdh,"1621 BANKS VW DR, RALEIGH, NC 27603-8287",Education,"Scholarships, Student Financial Aid Services, Awards","1621 Banks View Dr, Raleigh, North Carolina, 27603",Wake County,35.6439453716601,-78.6987835427902
85-1711727,Patrick Luc Nixon Foundation,"920 DURHAM ST, FUQUAY VARINA, NC 27526-1652",Education,"Scholarships, Student Financial Aid Services, Awards","920 Durham St, Fuquay Varina, North Carolina, 27526",Wake County,35.596344425212,-78.7990934604421
85-1714071,Golden Light Organization,"3809 ALTHORP DR, RALEIGH, NC 27616-5987",Community Improvement and Capacity Building,"Community Improvement, Capacity Building N.E.C.","3809 Althorp Dr, Raleigh, North Carolina, 27616",Wake County,35.8944868379305,-78.5168553244561
85-1722907,Securehands,"4030 WAKE FRST RD STE 349, RALEIGH, NC 27609-0010",Mental Health and Crisis Intervention,Mental Health Disorders,"4030 Wake Forest Rd, #349, Raleigh, North Carolina, 27609",Wake County,35.8360969264241,-78.6140900488201
85-1725681,Persad Foundation,"2409 HAGNEY ST, RALEIGH, NC 27614-6605",Public and Societal Benefit,"Public, Society Benefit N.E.C.","2409 Hagney St, Raleigh, North Carolina, 27614",Wake County,35.9285189603265,-78.5702014046684
85-1808721,Nicoles Wish,"157 SHADOWDALE LN, ROLESVILLE, NC 27571-3312","Philanthropy, Voluntarism and Grantmaking Foundations",Fund Raising and Fund Distribution,"157 Shadowdale Ln, Rolesville, North Carolina, 27571",Wake County,35.9435763307741,-78.4663473046066
85-1830118,Chabad Torah Academy,"4104 GRACE PARK DR, MORRISVILLE, NC 27560-7369",Religion-Related,Judaism,"4104 Grace Park Dr, Morrisville, North Carolina, 27560",Wake County,35.8208428240521,-78.8467819851119
85-1926869,Pawsibilities Vet Med,"210 FIRETREE LN, CARY, NC 27513-5642",UNDEFINED,UNDEFINED,"210 Firetree Ln, Cary, North Carolina, 27513",Wake County,35.8010680838477,-78.8436087564201
85-1962394,Perfectly Imperfect Pups,"14460 FLS OF NEUSE RD 149-386, RALEIGH, NC 27614-6643",Animal-Related,Animal Protection and Welfare,"14460 Falls of Neuse Rd, Ste 149, Raleigh, North Carolina, 27614",Wake County,35.943678,-78.543918
85-1967142,Floyd Family Center For Social Equity,"7200 SAINT LEDGER DR, RALEIGH, NC 27613-3545",Youth Development,Youth Development Programs,"7200 Saint Ledger Dr, Raleigh, North Carolina, 27613",Wake County,35.8770485919847,-78.6897905291419
85-2029637,Love Africa,"7600 TRL BLAZER TRL, WAKE FOREST, NC 27587-4732",Human Services,Human Service Organizations,"7600 Trail Blazer Trl, Wake Forest, North Carolina, 27587",Wake County,35.9938408256968,-78.6110406732936
85-2058297,Nc Elite Darkhorses,"6925 OLD WAKE FRST RD STE B2, RALEIGH, NC 27616-3414",Recreation and Sports,Football,"6925 Old Wake Forest Rd, Raleigh, North Carolina, 27616",Wake County,35.8690726067572,-78.5847813351606
85-2139458,Axios Inspires Foundation,"207 W MILLBROOK RD STE 210, RALEIGH, NC 27609-4490",Public and Societal Benefit,"Military, Veterans' Organizations","207 W Millbrook Rd, Ste 210, Raleigh, North Carolina, 27609",Wake County,35.8562124969998,-78.6435705
85-2140098,Imdaad,"1720 SONESTA CT, RALEIGH, NC 27613-8562",Community Improvement and Capacity Building,Fund Raising and Fund Distribution,"1720 Sonesta Ct, Raleigh, North Carolina, 27613",Wake County,35.9215683916554,-78.6989672345202
85-2145900,Lyrical Vision Scholars,"1204 VLG MARKET PL PMB 243, MORRISVILLE, NC 27560-7508",Education,Educational Services and Schools - Other,"1204 Village Market Pl, Morrisville, North Carolina, 27560",Wake County,35.804628,-78.816708
85-2165141,Recess Games Usa,"304 HILLSTONE DR, RALEIGH, NC 27615-4912",Human Services,Single Organization Support,"304 Hillstone Dr, Raleigh, North Carolina, 27615",Wake County,35.8877399911419,-78.6512326766978
85-2176938,Acumen Mindset,"7151 OKELLY CHAPEL RD 263, CARY, NC 27519-6849",Mental Health and Crisis Intervention,Alliance/Advocacy Organizations,"7151 Okelly Chapel Rd, Cary, North Carolina, 27519",Wake County,35.8459251444697,-78.887946644209
85-2194774,Real Project,"237 CAHORS TRL, HOLLY SPRINGS, NC 27540-4486",Human Services,Human Service Organizations,"237 Cahors Trl, Holly Springs, North Carolina, 27540",Wake County,35.6281331812281,-78.8767521778812
85-2301997,Copperheads Baseball,"8109 PURPLE ASTER DR, WILLOW SPRING, NC 27592-7473",Recreation and Sports,Amateur Sports,"8109 Purple Aster Dr, Willow Spring, North Carolina, 27592",Wake County,35.5556493475098,-78.7022203706218
85-2395154,Gr8ful Workshops,"1604 GOLDEN SUN DR, RALEIGH, NC 27614-7040",Religion-Related,Christianity,"1604 Golden Sun Dr, Raleigh, North Carolina, 27614",Wake County,35.9241460197069,-78.5818351960588
85-2402345,Pilot Mill Foundation,"217 TRAILS END CT, RALEIGH, NC 27614-8428",Recreation and Sports,"Baseball, Softball","217 Trails End Ct, Raleigh, North Carolina, 27614",Wake County,35.9330465767786,-78.6402445495412
85-2413362,Brain Mugs & Brew,"517 DOMINION OAK CIR, CARY, NC 27519-6957",Human Services,Fund Raising and Fund Distribution,"517 Dominion Oak Cir, Cary, North Carolina, 27519",Wake County,35.8502532844941,-78.8922128134918
85-2413405,Coastal Peer Review,"2700 WYCLIFF RD STE 230, RALEIGH, NC 27607-3093",Community Improvement and Capacity Building,Business and Industry,"2700 Wycliff Rd, Raleigh, North Carolina, 27607",Wake County,35.8201124359747,-78.6908399263668
85-2413685,Partnership For Community Health Equity,"2320 MOON WATER WAY, GARNER, NC 27529-5193",Health Care,Public Health Program (Includes General Health and Wellness Promotion Services),"2320 Moon Water Way, Garner, North Carolina, 27529",Wake County,35.6804233283226,-78.6435989865542
85-2432593,PTA North Carolina Congress,"1436 ROCK QUARRY RD, RALEIGH, NC 27610-4187",UNDEFINED,UNDEFINED,"1436 Rock Quarry Rd, Raleigh, North Carolina, 27610",Wake County,35.760438,-78.6160935
85-2437739,PTA North Carolina Congress,"1449 OLD HONEYCUTT RD, FUQUAY VARINA, NC 27526-8927",UNDEFINED,UNDEFINED,"1449 Old Honeycutt Rd, Fuquay Varina, North Carolina, 27526",Wake County,35.580390795204,-78.7439289831369
85-2444639,Family Wellness Outreach Center Of North Carolina,"109 WINTERSAGE CT, HOLLY SPRINGS, NC 27540-8622",Human Services,Family Services for Adolescent Parents,"109 Wintersage Ct, Holly Springs, North Carolina, 27540",Wake County,35.6335432714238,-78.8569606608574
85-2445629,Old North State Working Dobermans,"369 N FALLSVIEW LN, WAKE FOREST, NC 27587-5707",Animal-Related,Other Services - Specialty Animals,"369 N Fallsview Ln, Wake Forest, North Carolina, 27587",Wake County,36.0167250980146,-78.6190635931395
85-2445972,Major League Dad,"4421 LORD JOSEPH CT, RALEIGH, NC 27610-8741",Religion-Related,Christianity,"4421 Lord Joseph Ct, Raleigh, North Carolina, 27610",Wake County,35.7217721099598,-78.5608804448902
85-2454020,Doza Daughters Of Zion Arise,"11201 JEREMIAH ST, MORRISVILLE, NC 27560-0078",Human Services,Human Service Organizations,"11201 Jeremiah St, Morrisville, North Carolina, 27560",Wake County,35.8264603327946,-78.831879123377
85-2475738,Better Ballot North Carolina,"7151 OKELLY CHAPEL RD STE 233, CARY, NC 27519-6849",UNDEFINED,UNDEFINED,"7151 Okelly Chapel Rd, Cary, North Carolina, 27519",Wake County,35.8459251444697,-78.887946644209
85-2483374,Hank Lattimore Foundation,"8001 TYLERTON DR, RALEIGH, NC 27613-1557",Education,Fund Raising and/or Fund Distribution,"8001 Tylerton Dr, Raleigh, North Carolina, 27613",Wake County,35.8879601215593,-78.702012437994
85-2538351,Ebony Anglers,"2124 DAUFUSKIE DR, RALEIGH, NC 27604-2074",Recreation and Sports,"Fishing, Hunting","2124 Daufuskie Dr, Raleigh, North Carolina, 27604",Wake County,35.8102811534711,-78.5587096419586
85-2561633,Thats My Doll Dolls For All,"208 COOKE ST, RALEIGH, NC 27601-1124",Human Services,Human Service Organizations,"208 Cooke St, Raleigh, North Carolina, 27601",Wake County,35.7825449023025,-78.6280011089216
85-2568054,Sistahs Who Care,"6404 BRUSHY MTN ST, CARY, NC 27519-7240",Human Services,Human Service Organizations,"6404 Brushy Mountain St, Cary, North Carolina, 27519",Wake County,35.821554465982,-78.8967673899533
85-2617175,King Education Foundation,"707 GOLDENVIEW ACRES CT, APEX, NC 27502-2511",Education,"Scholarships, Student Financial Aid Services, Awards","707 Goldenview Acres Ct, Apex, North Carolina, 27502",Wake County,35.7223405181776,-78.8539402575453
85-2638838,E4048,"3205 NORTHAMPTON ST, RALEIGH, NC 27609-6925",Youth Development,Youth Development N.E.C.,"3205 Northampton St, Raleigh, North Carolina, 27609",Wake County,35.8253414629522,-78.6512918215706
85-2652114,Eat Foundation Of Wendell Nc,"6725 EAGLES XING DR, WENDELL, NC 27591-8871",UNDEFINED,UNDEFINED,"6725 Eagles Crossing Dr, Wendell, North Carolina, 27591",Wake County,35.7845081579432,-78.4060924499105
85-2676788,Acharya Paduka,"1104 ZAGORA DR, CARY, NC 27519-6749",Human Services,Human Service Organizations,"1104 Zagora Dr, Cary, North Carolina, 27519",Wake County,35.8327444601823,-78.8977877623631
85-2697280,Theta Chi Fraternity,"3421 AVENT FRY RD, RALEIGH, NC 27606-3645",UNDEFINED,UNDEFINED,"3421 Avent Ferry Rd, Raleigh, North Carolina, 27606",Wake County,35.7669283882225,-78.6985063813263
85-2700601,Ramanuja Seva,"1104 ZAGORA DR, CARY, NC 27519-6749",Human Services,Human Service Organizations,"1104 Zagora Dr, Cary, North Carolina, 27519",Wake County,35.8327444601823,-78.8977877623631
85-2725400,Ask-Tj Homes,"4030 WAKEFOREST RD STE 349, RALEIGH, NC 27609-0010",Human Services,Family Services,"4030 Wake Forest Rd, #349, Raleigh, North Carolina, 27609",Wake County,35.8360969264241,-78.6140900488201
85-2745511,Scottlynn,"1120 TRINITY PNE LN APT 304, RALEIGH, NC 27607-5192",Human Services,Emergency Assistance,"1120 Trinity Pine Ln, Apt 304, Raleigh, North Carolina, 27607",Wake County,35.7956309553062,-78.7309549980094
85-2806763,Jesus Solution Embassy International North Carolina,"208 ROSA BLF CT, HOLLY SPRINGS, NC 27540-6040",Religion-Related,Christianity,"208 Rosa Bluff Ct, Holly Springs, North Carolina, 27540",Wake County,35.639712,-78.8223285
85-2843907,Ieee At Nc State,"2610 CASE AVE CAMPUS BOX 7295 NCSU, RALEIGH, NC 27695-7295",Education,"Student Services, Organizations of Students","27695, Raleigh, North Carolina",Wake County,35.78551,-78.64267
85-2847543,National Association Of College Auxiliary Services South,"9520 MIRANDA DR, RALEIGH, NC 27617-7668",Education,"Professional Societies, Associations","9520 Miranda Dr, Raleigh, North Carolina, 27617",Wake County,35.9142622708755,-78.7465783355359
85-2868745,Conservatives For Criminal Justice Initiative,"4242 SIX FRKS RD STE 1550, RALEIGH, NC 27609-6086","Civil Rights, Societal Action and Advocacy",Civil Liberties,"4242 Six Forks Rd, Ste 1550, Raleigh, North Carolina, 27609",Wake County,35.8376509986437,-78.6411763516074
85-2916454,The Global Gastroschisis Foundation,"12400 WAKE UN CHURCH RD 3 10, WAKE FOREST, NC 27587-4509",Voluntary Health Associations and Medical Disciplines,Birth Defects and Genetic Diseases,"12400 Wake Union Church Rd, Ste 3, Wake Forest, North Carolina, 27587",Wake County,35.9834731950779,-78.539119346356
85-2950492,Authentic Self-Care And Wellness,"4712 HALEYTREE CT, RALEIGH, NC 27606-6483",UNDEFINED,UNDEFINED,"4712 Haleytree Ct, Raleigh, North Carolina, 27606",Wake County,35.7218977979686,-78.7407939168735
85-2978146,Radha Krishna Temple Of North Carolina,"137 ANITA WAY, CARY, NC 27513-9632",Religion-Related,Hinduism,"137 Anita Way, Cary, North Carolina, 27513",Wake County,35.8090804107853,-78.790217389001
85-2980355,Alarqam Institute,"5024 DEAH WAY, RALEIGH, NC 27616-6709",Religion-Related,Islam,"5024 Deah Way, Raleigh, North Carolina, 27616",Wake County,35.8514581440361,-78.557283743003
85-2984957,Adda Foundation,"708 NEWSTEAD WAY, CARY, NC 27519-6473",Recreation and Sports,Recreation& Sports N.E.C.,"708 Newstead Way, Cary, North Carolina, 27519",Wake County,35.8358624115933,-78.8495791959433
85-2992128,Complete Student-Athlete,"901 NORTHWOODS DR, CARY, NC 27513-3804",Recreation and Sports,Sports Associations &Training Facilities,"901 Northwoods Dr, Cary, North Carolina, 27513",Wake County,35.798110354983,-78.7846783651392
85-2999176,Shayla Marie Chavis Pay It Forward Scholarship Fund,"267 TIMBER DR UNIT 762, GARNER, NC 27529-1137",Education,Fund Raising and/or Fund Distribution,"267 Timber Dr, Garner, North Carolina, 27529",Wake County,35.6862404908543,-78.6060585
85-3016665,North Carolina State University,"CAMPUS BOX 7655, RALEIGH, NC 27695-0001",UNDEFINED,UNDEFINED,"27695, Raleigh, North Carolina",Wake County,35.78551,-78.64267
85-3018560,Shinniggaa Channel,"504 NORMANCREST CT, CARY, NC 27519-8737",Human Services,Human Service Organizations,"504 Normancrest Ct, Cary, North Carolina, 27519",Wake County,35.7781374774076,-78.8546807601997
85-3044337,Empowering Steppers,"113 OREGON TRL, GARNER, NC 27529-8882",Youth Development,"Youth Centers, Clubs","113 Oregon Trl, Garner, North Carolina, 27529",Wake County,35.660097588378,-78.5995753411045
85-3051450,Coalition Of Reformers Bible Institute,"645 PRICKLY PEAR DR, FUQUAY VARINA, NC 27526-9730",Education,Educational Services and Schools - Other,"645 Prickly Pear Dr, Fuquay Varina, North Carolina, 27526",Wake County,35.5676503108374,-78.8087981951065
85-3081015,Oak Charter Academy Foundation,"11111 BECKSTONE WAY APT 1-B, RALEIGH, NC 27614-0000","Philanthropy, Voluntarism and Grantmaking Foundations",Private Independent Foundations,"11111 Beckstone Way, Raleigh, North Carolina, 27614",Wake County,35.9485619245768,-78.5488659349929
85-3093708,Wolfpack Elite,"3008 RED GRAPE DR, RALEIGH, NC 27607-4864",Recreation and Sports,Swimming & Other Water Recreation,"3008 Red Grape Dr, Raleigh, North Carolina, 27607",Wake County,35.8030788470771,-78.742205228028
85-3122747,Nc Ag Partnership,"3700 GLENWOOD AVE STE 310, RALEIGH, NC 27612-4958","Food, Agriculture and Nutrition",Alliance/Advocacy,"3700 Glenwood Ave, Raleigh, North Carolina, 27612",Wake County,35.830492228432,-78.666781069335
85-3140340,Center For Aikido Study,"3400 BELIN CT, RALEIGH, NC 27616-8731",Recreation and Sports,Single Organization Support,"3400 Belin Ct, Raleigh, North Carolina, 27616",Wake County,35.8731430402504,-78.5041334337817
85-3140481,Radix Group,"2594 SPURWOOD CT, APEX, NC 27502-4312",Religion-Related,Religion Related N.E.C.,"2594 Spurwood Ct, Apex, North Carolina, 27502",Wake County,35.7384790912922,-78.9077268816147
85-3148336,Pure Life Theatre,"205 DUNSTABLE CT, RALEIGH, NC 27614-9500","Arts, Culture and Humanities",Performing Arts Centers,"205 Dunstable Ct, Raleigh, North Carolina, 27614",Wake County,35.9371756694844,-78.6409833825957
85-3161665,That Sista Support,"2911 SPRINGSWEET LN APT 27, RALEIGH, NC 27612-7167",Human Services,Human Service Organizations,"2911 Springsweet Ln, Apt 27, Raleigh, North Carolina, 27612",Wake County,35.8808713169543,-78.7416935500322
85-3164386,Prosafety Training,"2101 SHADOW CRK DR, RALEIGH, NC 27604-5985","Public Safety, Disaster Preparedness and Relief",Safety Education,"2101 Shadow Creek Dr, Raleigh, North Carolina, 27604",Wake County,35.8136862217669,-78.5489328321021
85-3166419,We Plant It Forward,"2300 HALES RD, RALEIGH, NC 27608-1446",Environment,"Environmental Quality, Protection, and Beautification N.E.C.","2300 Hales Rd, Raleigh, North Carolina, 27608",Wake County,35.8101079325409,-78.6474975858965
85-3181787,Lewis Gives,"407 RIGGSBEE FARM DR, CARY, NC 27519-7378","Philanthropy, Voluntarism and Grantmaking Foundations",Alliance/Advocacy,"407 Riggsbee Farm Dr, Cary, North Carolina, 27519",Wake County,35.7961974951239,-78.854677135986
85-3200648,New Hanover Scholars,"5131 ISTRIAN WAY, RALEIGH, NC 27610-7157",Education,"Scholarships, Student Financial Aid Services, Awards","27610, Raleigh, North Carolina",Wake County,35.778625,-78.6155699999999
85-3222454,Share The Gospel Mission,"502 WALNUT WOODS DR, MORRISVILLE, NC 27560-6773",Religion-Related,Christianity,"502 Walnut Woods Dr, Morrisville, North Carolina, 27560",Wake County,35.838999,-78.8731095004327
85-3238261,Faithwalker Ministries,"4221 AVENT FRY RD APT 4, RALEIGH, NC 27606-4769",Religion-Related,Alliance/Advocacy,"4221 Avent Ferry Rd, Apt 4, Raleigh, North Carolina, 27606",Wake County,35.7651584414573,-78.7127939581631
85-3245404,Asmi Foundation,"4209 PAMLICO DR, RALEIGH, NC 27609-5701",Education,"Scholarships, Student Financial Aid Services, Awards","4209 Pamlico Dr, Raleigh, North Carolina, 27609",Wake County,35.8387693910498,-78.6454297949102
85-3262729,International Festival,"8016 BRANDYAPPLE DR, RALEIGH, NC 27615-4906","Arts, Culture and Humanities","Arts, Cultural Organizations - Multipurpose","8016 Brandyapple Dr, Raleigh, North Carolina, 27615",Wake County,35.8865069636161,-78.6499718372094
85-3325596,Willow Health & Wellness Center,"1003 MULFORD CT UNIT 1203, KNIGHTDALE, NC 27545-0229",Health Care,Health Support Services,"1003 Mulford Ct, Knightdale, North Carolina, 27545",Wake County,35.7940785123493,-78.4892605229668
85-3346575,Tree Of Life Vocational Center,"1003 MULFORD CT UNIT 1203, KNIGHTDALE, NC 27545-0229",Education,"Vocational, Technical Schools","1003 Mulford Ct, Knightdale, North Carolina, 27545",Wake County,35.7940785123493,-78.4892605229668
85-3348867,Nc State Aerial Robotics Club,"911 OVAL DR MAE BOX 1910, RALEIGH, NC 27695-0001",Education,"Student Services, Organizations of Students","911 Oval Dr, Raleigh, North Carolina, 27606",Wake County,35.7723858086453,-78.6733649042644
85-3357975,Humble Paws,"1009 FINLEY PT PL, KNIGHTDALE, NC 27545-6326",Animal-Related,Animal Protection and Welfare,"1009 Finley Point Pl, Knightdale, North Carolina, 27545",Wake County,35.7620414032835,-78.5250833542618
85-3363177,Murphy Scholarship Fund,"5712 HARRINGTON GRV DR, RALEIGH, NC 27613-5706",Education,"Scholarships, Student Financial Aid Services, Awards","5712 Harrington Grove Dr, Raleigh, North Carolina, 27613",Wake County,35.9292339625482,-78.7496961000634
85-3394842,Create Better Life,"10520 CHAPEL HL RD UNIT 105, MORRISVILLE, NC 27560-3005",Education,"Kindergarten, Preschool, Nursery School, Early Admissions","10520 Chapel Hill Rd, Unit 105, Morrisville, North Carolina, 27560",Wake County,35.8419585495986,-78.8333270403087
85-3396161,Profound Ladies,"555 FAYETTEVILLE ST STE 300, RALEIGH, NC 27601-3066",Education,"Professional Societies, Associations","555 Fayetteville St, Ste 300, Raleigh, North Carolina, 27601",Wake County,35.7735779372728,-78.6394130170238
85-3414793,Raleigh Testicular Cancer Foundation,"8800 AUTUMN WINDS DR APT 304, RALEIGH, NC 27615-1988",Voluntary Health Associations and Medical Disciplines,Cancer,"8800 Autumn Winds Dr, Apt 304, Raleigh, North Carolina, 27615",Wake County,35.9031949822551,-78.6598435177449
85-3482828,Art Of Family Living,"7825 HIGHLANDVIEW CIR, RALEIGH, NC 27613-4109",Religion-Related,Christianity,"7825 Highlandview Cir, Raleigh, North Carolina, 27613",Wake County,35.882078205407,-78.7152547034451
85-3484199,Dega Mobile Veterinary Care,"6121 HOPE LN, FUQUAY VARINA, NC 27526-7202",Animal-Related,Veterinary Services,"6121 Hope Ln, Fuquay Varina, North Carolina, 27526",Wake County,35.608861249755,-78.7361039640488
85-3499212,Umbrella Outreach Services,"5312 SIX FRKS RD, RALEIGH, NC 27609-4458",Housing and Shelter,Alliance/Advocacy Organizations,"5312 Six Forks Rd, Raleigh, North Carolina, 27609",Wake County,35.8545888034798,-78.6421032780602
